날짜,대출금리,년도,월
2019-01,4.0,2019,1
2020-01,3.48,2020,1
2021-01,2.9,2021,1
2022-01,3.52,2022,1
2023-01,5.67,2023,1
2024-01,5.28,2024,1
2019-02,3.93,2019,2
2020-02,3.35,2020,2
2021-02,2.85,2021,2
2022-02,3.59,2022,2
2023-02,5.45,2023,2
2024-02,4.98,2024,2
2019-03,3.84,2019,3
2020-03,3.13,2020,3
2021-03,2.85,2021,3
2022-03,3.57,2022,3
2023-03,5.28,2023,3
2024-03,4.93,2024,3
2019-04,3.83,2019,4
2020-04,2.86,2020,4
2021-04,2.82,2021,4
2022-04,3.67,2022,4
2023-04,5.14,2023,4
2024-04,4.81,2024,4
2019-05,3.79,2019,5
2020-05,2.88,2020,5
2021-05,2.83,2021,5
2022-05,3.79,2022,5
2023-05,5.23,2023,5
2024-05,4.85,2024,5
2019-06,3.71,2019,6
2020-06,2.9,2020,6
2021-06,2.85,2021,6
2022-06,4.06,2022,6
2023-06,5.37,2023,6
2024-06,4.79,2024,6
2019-07,3.66,2019,7
2020-07,2.87,2020,7
2021-07,2.85,2021,7
2022-07,4.36,2022,7
2023-07,5.32,2023,7
2024-07,0.0,2024,7
2019-08,3.45,2019,8
2020-08,2.8,2020,8
2021-08,2.93,2021,8
2022-08,4.65,2022,8
2023-08,5.24,2023,8
2024-08,0.0,2024,8
2019-09,3.5,2019,9
2020-09,2.86,2020,9
2021-09,3.05,2021,9
2022-09,4.87,2022,9
2023-09,5.34,2023,9
2024-09,0.0,2024,9
2019-10,3.39,2019,10
2020-10,2.81,2020,10
2021-10,3.14,2021,10
2022-10,5.49,2022,10
2023-10,5.35,2023,10
2024-10,0.0,2024,10
2019-11,3.45,2019,11
2020-11,2.86,2020,11
2021-11,3.3,2021,11
2022-11,5.93,2022,11
2023-11,5.42,2023,11
2024-11,0.0,2024,11
2019-12,3.5,2019,12
2020-12,2.89,2020,12
2021-12,3.37,2021,12
2022-12,5.76,2022,12
2023-12,5.31,2023,12
2024-12,0.0,2024,12
