,음식 및 숙박,의복·신발
201901,98.8,98.31
201902,98.86,98.9
201903,98.54,98.93
201904,98.75,98.79
201905,98.85,98.92
201906,98.98,99.04
201907,99.13,99.03
201908,99.39,99.03
201909,99.23,99.06
201910,99.3,99.25
201911,99.35,99.82
201912,99.61,99.83
202001,99.73,99.57
202002,99.55,99.72
202003,99.42,99.76
202004,99.51,99.36
202005,99.74,99.94
202006,99.83,99.95
202007,100.11,100.25
202008,100.42,100.25
202009,100.19,100.29
202010,100.54,100.19
202011,100.35,100.32
202012,100.6,100.4
202101,101.03,100.26
202102,101.18,100.34
202103,101.52,100.37
202104,102.07,100.32
202105,102.22,100.45
202106,102.42,100.46
202107,103.09,100.45
202108,103.33,100.49
202109,103.21,100.5
202110,103.7,100.61
202111,104.14,101.79
202112,104.81,101.87
202201,105.86,102.19
202202,106.95,102.32
202203,107.63,102.39
202204,108.38,102.37
202205,109.36,103.54
202206,110.13,103.54
202207,111.5,103.69
202208,112.5,103.83
202209,112.58,103.8
202210,112.88,103.9
202211,113,106.85
202212,113.85,107.15
202301,114.28,107.43
202302,115.13,107.51
202303,115.62,107.87
202304,116.65,107.87
202305,117.02,111.51
202306,117.29,111.41
202307,117.92,111.53
202308,118.46,111.63
202309,117.89,111.6
202310,118,112.28
202311,118.14,113.49
202312,118.73,113.54
202401,119.02,113.66
202402,119.22,113.65
202403,119.6,113.7
202404,120.18,113.63
202405,120.55,114.29
202406,120.75,114.29
202407,121.26,114.38
202408,121.51,114.46
202409,120.55,114.46
