Unnamed: 0,2019 지역내총생산(백만원),2020 지역내총생산(백만원),2021 지역내총생산(백만원),2019 1인당 지역내총생산(천원),2020 1인당 지역내총생산(천원),2021 1인당 지역내총생산(천원)
종로구,"33,780,610","33,893,980","35,719,537","218,704","222,905","238,599"
중구,"53,823,217","56,070,505","61,342,710","417,483","433,922","481,395"
용산구,"12,695,516","12,824,348","13,294,640","56,571","56,901","58,918"
성동구,"12,167,850","12,422,960","13,999,893","40,100","42,193","48,682"
광진구,"6,587,069","6,451,227","6,554,954","18,211","18,124","18,732"
동대문구,"7,555,543","7,399,775","7,711,273","21,033","20,969","22,164"
중랑구,"4,741,739","4,750,297","4,860,242","12,174","12,354","12,742"
성북구,"6,141,921","6,193,208","6,371,894","13,894","14,020","14,608"
강북구,"3,283,572","3,356,956","3,462,961","10,743","11,112","11,754"
도봉구,"3,404,872","3,499,358","3,490,683","10,438","10,971","11,233"
노원구,"6,620,672","6,438,328","6,728,358","12,551","12,466","13,331"
은평구,"4,919,715","5,076,529","5,112,192","10,582","10,999","11,139"
서대문구,"8,652,191","8,611,066","9,039,083","27,023","27,148","28,793"
마포구,"19,943,128","20,199,596","21,399,314","54,027","55,026","58,606"
양천구,"7,125,314","7,012,123","7,356,067","16,083","15,886","16,897"
강서구,"17,458,926","16,811,352","18,347,568","30,176","29,536","32,709"
구로구,"14,090,156","13,924,846","14,663,398","32,692","32,022","34,144"
금천구,"17,614,623","17,221,771","17,801,015","70,750","69,064","71,770"
영등포구,"36,095,497","39,433,365","44,265,877","91,575","98,627","109,100"
동작구,"6,527,100","6,650,824","6,712,864","16,197","16,827","17,250"
관악구,"5,963,769","6,138,754","6,347,562","11,663","12,151","12,792"
서초구,"35,570,338","36,249,662","38,335,706","87,695","89,488","96,783"
강남구,"71,852,681","74,260,359","77,924,019","141,362","145,814","155,358"
송파구,"29,962,528","30,336,592","31,834,324","46,033","46,975","50,290"
강동구,"9,348,668","9,317,128","9,364,063","22,807","21,029","20,717"
