지역,22_1,22_2,22_3,22_4,23_1,23_2,23_3,23_4,24_1
강원,13.218181818181819,13.19090909090909,13.2,13.127272727272727,13.1,13.1,13.045454545454545,13.045454545454545,13.045454545454545
경기,25.9,26.006666666666668,25.96333333333333,25.833333333333332,25.83,25.94333333333333,25.95,25.926666666666666,25.939999999999998
경남,14.58235294117647,14.617647058823529,14.617647058823529,14.564705882352941,14.429411764705883,14.370588235294118,14.276470588235293,14.25294117647059,14.205882352941176
경북,12.864285714285714,12.857142857142858,12.835714285714285,12.792857142857143,12.778571428571428,12.764285714285714,12.799999999999999,12.807142857142859,12.807142857142859
광주,17.527272727272727,17.418181818181818,17.354545454545455,17.30909090909091,17.227272727272727,17.181818181818183,17.181818181818183,17.154545454545453,17.154545454545453
대구,21.284615384615385,21.299999999999997,21.284615384615385,21.292307692307695,21.26923076923077,21.246153846153845,21.284615384615385,21.27692307692308,21.192307692307693
대전,14.6,14.528571428571428,14.485714285714286,14.485714285714286,14.5,14.485714285714286,14.5,14.485714285714286,14.5
부산,28.02857142857143,28.047619047619047,28.047619047619047,28.080952380952382,27.995238095238093,28.12857142857143,28.133333333333333,28.104761904761908,28.12857142857143
서울,50.03898305084746,50.22542372881356,50.32203389830509,49.90338983050848,50.123728813559325,50.27627118644068,50.56440677966102,50.77457627118644,50.99322033898305
세종,14.3,13.899999999999999,13.899999999999999,13.85,13.8,13.75,13.75,13.7,13.85
울산,14.957142857142857,15.0,15.0,14.942857142857141,14.928571428571429,14.885714285714286,14.842857142857143,15.042857142857144,14.985714285714286
인천,21.8875,21.8625,21.875,21.8375,21.8,21.7625,21.7625,21.7,21.6875
전남,10.992307692307692,10.961538461538462,10.930769230769231,10.923076923076923,10.899999999999999,10.86153846153846,10.838461538461539,10.792307692307691,10.8
전북,10.53,10.49,10.48,10.379999999999999,10.35,10.33,10.36,10.32,10.28
제주,14.940000000000001,14.98,14.98,14.98,14.98,14.98,15.12,15.080000000000002,15.040000000000001
충남,13.21875,13.21875,13.225,13.20625,13.16875,13.16875,13.1375,13.1125,13.13125
충북,13.133333333333333,13.122222222222222,13.077777777777778,13.011111111111113,13.033333333333333,12.988888888888889,12.977777777777778,13.011111111111113,12.988888888888889
